expression,expected_result,actual_result,ok,wrapper,pair_id,family,source,target,expected_strategy,error_kind,error_message
((cosh(x)^2 - 1) + m) - ((sinh(x)^2) + m),0,cosh(x)^2 - sinh(x)^2 - 1,false,additive_passthrough_zero,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics,result_mismatch,
k*(cosh(x)^2 - 1) - k*(sinh(x)^2),0,k * cosh(x)^2 - k * sinh(x)^2 - k,false,scaled_difference_zero,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics,result_mismatch,
((cosh(x)^2 - 1) + 1)/((sinh(x)^2) + 1),1,cosh(x)^2 / (sinh(x)^2 + 1),false,shifted_quotient_one,hyperbolic_pythagorean_shifted_forward,simplify,cosh(x)^2 - 1,sinh(x)^2,rewrite hyperbolics,result_mismatch,
((cosh(2*x)) + 1)/((cosh(x)^2 + sinh(x)^2) + 1),1,(cosh(2 * x) + 1) / (sinh(x)^2 + cosh(x)^2 + 1),false,shifted_quotient_one,hyperbolic_expand_cosh_double_angle_sum,simplify,cosh(2*x),cosh(x)^2 + sinh(x)^2,rewrite hyperbolics,result_mismatch,
((cosh(2*x)) + m) - ((2*cosh(x)^2 - 1) + m),0,cosh(2 * x) + 1 - 2 * cosh(x)^2,false,additive_passthrough_zero,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics,result_mismatch,
k*(cosh(2*x)) - k*(2*cosh(x)^2 - 1),0,k * cosh(2 * x) + k - 2 * k * cosh(x)^2,false,scaled_difference_zero,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics,result_mismatch,
((cosh(2*x)) + 1)/((2*cosh(x)^2 - 1) + 1),1,(cosh(2 * x) + 1) / (2 * cosh(x)^2),false,shifted_quotient_one,hyperbolic_expand_cosh_double_angle_cosh_sq,simplify,cosh(2*x),2*cosh(x)^2 - 1,rewrite hyperbolics,result_mismatch,
((exp(x)) + m) - ((sinh(x) + cosh(x)) + m),0,e^x - sinh(x) - cosh(x),false,additive_passthrough_zero,hyperbolic_expand_exp_to_sum,simplify,exp(x),sinh(x) + cosh(x),rewrite hyperbolics,result_mismatch,
((exp(x)) + 1)/((sinh(x) + cosh(x)) + 1),1,(e^x + 1) / (sinh(x) + cosh(x) + 1),false,shifted_quotient_one,hyperbolic_expand_exp_to_sum,simplify,exp(x),sinh(x) + cosh(x),rewrite hyperbolics,result_mismatch,
((a*x^2 + b*x + c)/q) - ((a*(x + b/(2*a))^2 + c - b^2/(4*a))/q),0,(4 * a^2 * x^2 + 4 * a * b * x + b^2 - 4 * a^2 * (b / (2 * a) + x)^2) / (4 * a * q),false,common_denominator_zero,solve_prep_complete_square_symbolic_leading_coeff,solve_prep,a*x^2 + b*x + c,a*(x + b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
((a*x^2 + b*x + c) + 1)/((a*(x + b/(2*a))^2 + c - b^2/(4*a)) + 1),1,(a * x^2 + b * x + c + 1) / (a * (b / (2 * a) + x)^2 + c + 1 - b^2 / (4 * a)),false,shifted_quotient_one,solve_prep_complete_square_symbolic_leading_coeff,solve_prep,a*x^2 + b*x + c,a*(x + b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
