"group","expression","description"
"sympy wrong","integrate(1/(x^8+1), x)","La integral «monstruo» ∫dx/(x⁸+1): sympy 1.14 devuelve 0 (incorrecto); aquí la forma cerrada exacta arctan+log sobre √(2±√2), verificada a 30 dígitos"
"sympy wrong","integrate(1/(x^8+16), x)","Óctica doblemente par: sympy 1.14 también devuelve 0; aquí la antiderivada exacta con radicales anidados √(4±√8)"
"sympy wrong","solve(sin(x)>1/2, x)","sympy trunca la solución a un periodo (π/6, 5π/6) y pierde el resto; aquí la unión periódica completa con k ∈ ℤ"
"sympy wrong","solve(tan(x)>1, x)","sympy devuelve solo (π/4, π/2); aquí todos los periodos de la tangente: (π/4+kπ, π/2+kπ)"
"sympy wrong","integrate(1/(x^3-x-1), x)","Cúbica con raíz irracional: sympy expande Cardano en un monstruo ILEGIBLE de miles de caracteres; aquí la suma limpia sobre las raíces de la resultante (RootSum de una línea)"
"Derivadas","diff(arctan((1+x)/(1-x)), x)","Derivada que se simplifica radicalmente a una racional 1/(x²+1)"
"Derivadas","diff(x^x, x)","Derivación logarítmica: base y exponente variables"
"Derivadas","diff(sin(e^(x^2)), x)","Regla de la cadena anidada"
"Derivadas","diff(ln((x-1)/(x+1)), x)","Logaritmo de un cociente que se condensa a 2/(x²-1)"
"Derivadas","diff(arctan(sqrt(x)), x)","Arcotangente compuesta con raíz cuadrada"
"Derivadas","diff(sin(x)/x, x)","Regla del cociente"
"Derivadas","diff(x^2*y, x, y)","Derivada parcial mixta de segundo orden ∂²/∂x∂y"
"Derivadas","diff(sin(x), x, 4)","Derivada de orden superior (cuarta del seno)"
"Derivadas","diff(tanh(x), x)","Derivada de una función hiperbólica"
"Derivadas","diff(x^3 + 2*x^2 - 5*x + 1, x)","Derivada de un polinomio"
"Integrales","integrate(e^(-x^2), x, -oo, oo)","Integral de Gauss sobre toda la recta real → √π"
"Integrales","integrate(1/(x^2+1), x, 0, oo)","Integral impropia convergente → π/2"
"Integrales","integrate(1/(x^4-1), x, 2, oo)","Impropia racional: fracciones parciales con arcotangente"
"Integrales","integrate(1/(x^3-x), x)","Función racional por fracciones parciales (tres logaritmos)"
"Integrales","integrate(e^x*sin(x), x)","Integración por partes cíclica (exponencial por seno)"
"Integrales","integrate(x^2 * sin(x), x)","Por partes: polinomio por seno"
"Integrales","integrate((2*x+3)/(x^2+x+1), x)","Racional irreducible: parte logarítmica más arcotangente"
"Integrales","integrate(2*x/sqrt(4+x^4)+1, x)","Sustitución con función hiperbólica inversa (asinh)"
"Integrales","integrate(x*cos(x^2), x)","Sustitución en cadena (u = x²)"
"Integrales","integrate(x^2, x)","Integral de un polinomio"
"Integrales","integrate(1/(x^5-1), x)","Quíntica ciclotómica Φ₅: par cuadrático conjugado sobre ℚ(√5) con radios arctan anidados √((5±√5)/2)"
"Integrales","integrate(1/(x^3-2), x)","Factorización real sobre ℚ(∛2): log del factor lineal + arctan de la cuadrática irreducible"
"Integrales","integrate(1/(x^4-5), x)","Resolvente real irracional: log-ratio en los polos reales ±5^(1/4) + arctan de radio anidado"
"Integrales","integrate(1/(x^5-x-1), x)","El caso Galois S₅ canónico: SIN forma cerrada en radicales — la suma parametrizada sobre las raíces de la resultante es la ÚNICA primitiva elemental, verificada por prueba exacta"
"Integrales","integrate(1/(x^7-1), x)","Ciclotómica de grado 7: separa el polo racional (ln|x−1|/7) y encapsula las 6 raíces de Φ₇ en un RootSum con argumento x−7t"
"Integrales","integrate(1/(x^5-2), x)","Quíntica irreducible ∛-ajena: primitiva universal concisa root_sum(1−50000t⁵, t·ln(x−10t))"
"Integrales","integrate(1/(x^5-x-1), x, 2, 3)","Integral DEFINIDA del caso Galois S₅: emite la diferencia EXACTA de root_sums (Sturm certifica cero polos en [2,3]); approx(...) la convierte en 0.0132656737263"
"Integrales","integrate(1/(x^3-x-1), x, 1, 2)","Honestidad del polo: la integral DIVERGE (raíz de x³−x−1 en ≈1.3247 ∈ (1,2)) → undefined — Sturm exacto detecta el polo dentro del intervalo"
"Integrales","integrate(x/(x^4+x+1), x)","INDEFINIDA universal: numerador no constante sobre cuártica irreducible — la suma exacta sobre las raíces de la resultante (RootSum) sin factorizar nada"
"Integrales","integrate(1/(x^3-2), x, 2, 3)","DEFINIDA EXACTA sobre ℚ(∛2): sustituye los límites en la antiderivada y certifica (cotas exactas del oráculo) que el polo ∛2≈1.26 queda fuera de [2,3]"
"Integrales","integrate(1/(x^4-5), x, 1, 2)","DIVERGENCIA HONESTA: el polo 5^(1/4)≈1.495 cae dentro de (1,2) → undefined — nunca un valor finito falso para una integral divergente"
"Integrales","approx(integrate(1/(x^3-2), x, 2, 3))","DECIMAL BAJO DEMANDA: la misma definida exacta pasada por approx() → 0.0826140448044 (12 dígitos; el engine sigue exacto en todo lo demás)"
"Límites","limit((1+1/n)^n, n, infinity)","Límite notable: definición del número e"
"Límites","limit(sin(x)/x, x, 0)","Límite trigonométrico fundamental"
"Límites","limit((sin(x)-x)/x^3, x, 0)","Indeterminación 0/0 de orden superior (Taylor) → -1/6"
"Límites","limit((1-cos(x))/x^2, x, 0)","Límite trigonométrico notable → 1/2"
"Límites","limit(sqrt(x^2+x)-x, x, infinity)","Límite por radicales (conjugado) en el infinito"
"Límites","limit((1+2/x)^x, x, infinity)","Indeterminación 1^∞ que generaliza el número e → e²"
"Límites","limit((2^x-1)/x, x, 0)","Límite exponencial con base general → ln(2)"
"Límites","limit(x/ln(1-x), x, -infinity)","Límite en menos infinito con logaritmo real"
"Límites","limit((x^2+1)/(2*x^2-3), x, infinity)","Límite racional en el infinito"
"Límites","limit(x^2/exp(2*x), x, infinity)","Límite por dominancia exponencial"
"Límites","limit(ln(x)/exp(x), x, infinity)","Límite logaritmo frente a exponencial"
"Límites","limit(sqrt(x)*exp(-x), x, infinity)","Límite de raíz por exponencial decreciente"
"Límites","limit((x^2 + 3*x)/(2*x^2 - x), x, inf)","Límite en el infinito"
"Límites","limit(1/x-1/sin(x), x, 0)","Indeterminación ∞−∞ resuelta por denominador común → 0"
"Límites","limit(1/tan(x)^2-1/x^2, x, 0)","∞−∞ de recíprocos cuadráticos: cancelación fina de polos dobles → −2/3"
"Ecuaciones","solve(a*x^2+b*x+c=0,x)","Fórmula cuadrática general con coeficientes simbólicos"
"Ecuaciones","solve(x^3-6*x^2+11*x-6=0,x)","Cúbica factorizable con tres raíces enteras"
"Ecuaciones","solve(x^4-5*x^2+4=0,x)","Ecuación bicuadrática con cuatro raíces"
"Ecuaciones","solve(sin(x)=1/2,x)","Trigonométrica periódica: familia completa de soluciones"
"Ecuaciones","solve(cos(2*x)=1/2,x)","Trigonométrica periódica con argumento múltiple (2x)"
"Ecuaciones","solve(2*cos(x)-sqrt(3)=0,x)","Trigonométrica con constante irracional: conserva la familia periódica completa"
"Ecuaciones","solve(sin(x)=cos(x),x)","Trigonométrica lineal homogénea reducida a la tangente"
"Ecuaciones","solve(sin(x)+sqrt(3)*cos(x)=1,x)","Trigonométrica lineal por el método del ángulo auxiliar (R·sin(x+φ))"
"Ecuaciones","solve(e^(2*x)-3*e^x+2=0,x)","Exponencial reducible a una cuadrática en eˣ"
"Ecuaciones","solve(e^x+e^(-x)=4,x)","Exponencial hiperbólica: dos raíces logarítmicas con radicales"
"Ecuaciones","solve(4^x-9^x=0,x)","Exponencial de dos bases distintas resuelta por logaritmos"
"Ecuaciones","solve(ln(x)+ln(x-3)=1,x)","Logarítmica con condición de dominio (producto de logaritmos)"
"Ecuaciones","solve(sqrt(x+5)-sqrt(x)=1,x)","Diferencia de dos radicales con verificación de raíces"
"Ecuaciones","solve(abs(x^2-1)=x+1,x)","Valor absoluto de una cuadrática igualado a una expresión variable"
"Ecuaciones","solve(x^2=1-sqrt(2),x)","Discriminante irracional negativo: sin solución real (evita raíces complejas)"
"Ecuaciones","solve(Q = Q0 * 2^(-t/T),t)","Exponencial de decaimiento con condición de dominio"
"Ecuaciones","solve(tan(x)=tan(2*x), x)","Igualdad de tangentes: reducción exacta con exclusión de los polos → {kπ}"
"Ecuaciones","solve(x*abs(x)=4, x)","Valor absoluto por ramas de signo: única raíz real x=2 (sin raíces espurias)"
"Ecuaciones","solve(cot(x)^2=3, x)","Cotangente cuadrática: familia periódica completa con el polo auto-excluido"
"Inecuaciones","solve(x^2-2*x-3>0,x)","Inecuación cuadrática: solución como unión de intervalos"
"Inecuaciones","solve((x-1)*(x-2)*(x-3)>0,x)","Producto de tres factores lineales: análisis de signos por intervalos"
"Inecuaciones","solve((x-1)/(x-2)<0,x)","Inecuación racional con el polo excluido"
"Inecuaciones","solve(x+1/x>2,x)","Suma racional: la solución excluye el punto x=1 y el polo x=0"
"Inecuaciones","solve((x+1)/(x-1)>=2,x)","Racional no estricta: extremo cerrado con polo abierto"
"Inecuaciones","solve(1/(x-sqrt(2))>0,x)","Polo irracional: reducción exacta a la frontera x>√2"
"Inecuaciones","solve(sqrt(x)>2,x)","Inecuación con radical: conserva el dominio del radicando"
"Inecuaciones","solve(x^(2/3)>2,x)","Potencia fraccionaria (valle): equivale a |x|>2^(3/2)"
"Inecuaciones","solve(abs(x-2)>1,x)","Valor absoluto mayor que una constante: dos rayos"
"Inecuaciones","solve(abs(x-1)<abs(x+2),x)","Inecuación con dos valores absolutos"
"Inecuaciones","solve(e^(2*x)-3*e^x+2<0,x)","Exponencial cuadrática en eˣ: intervalo entre las raíces"
"Inecuaciones","solve(ln(x)^2-3*ln(x)+2<0,x)","Polinómica en ln(x): retro-sustitución al intervalo exponencial (e, e²)"
"Inecuaciones","solve(2*sin(3*x)-1>0, x)","Trigonométrica con argumento múltiple: unión periódica de intervalos con periodo 2π/3"
"Inecuaciones","solve(abs(x-a)<2, x)","Valor absoluto con centro simbólico: banda directa (a−2, a+2)"
"Sistemas de ecuaciones","solve_system(x+y=3; x-y=1; x; y)","Sistema lineal 2×2"
"Sistemas de ecuaciones","solve_system(2*x+3*y=7; 3*x-y=5; x; y)","Sistema lineal 2×2 con coeficientes"
"Sistemas de ecuaciones","solve_system(x+y+z=6; x-y+z=2; 2*x+y-z=1; x; y; z)","Sistema lineal 3×3"
"Sistemas de ecuaciones","solve_system(a+b+c=1; a-b+c=3; a+b-c=-1; a; b; c)","Sistema lineal 3×3 con incógnitas a, b, c"
"Series y sumatorios","sum(1/n^2, n, 1, oo)","Serie de Basilea: suma infinita convergente → π²/6"
"Series y sumatorios","sum(k^2, k, 1, n)","Forma cerrada del sumatorio de cuadrados"
"Series y sumatorios","sum(1/(n*(n+1)), n, 1, oo)","Serie telescópica convergente → 1"
"Series y sumatorios","sum(1/n, n, 1, oo)","Serie armónica: detección de divergencia"
"Series y sumatorios","product(1 - 1/k^2, k, 2, n)","Producto telescópico con forma cerrada"
"Series y sumatorios","taylor(sin(x), x, 0, 5)","Desarrollo de Taylor de sin(x) en orden 5"
"Series y sumatorios","sum(k^3, k, 1, n)","Suma de cubos = cuadrado del número triangular"
"Series y sumatorios","sum(2^k, k, 0, n)","Suma geométrica finita de potencias de 2"
"Series y sumatorios","product(k, k, 1, n)","Producto de 1 a n reconocido como factorial n!"
"Series y sumatorios","sum(1/2^k, k, 0, oo)","Serie geométrica infinita de razón 1/2 → 2"
"Álgebra y simplificación","cos(pi * log(sqrt(exp(1) * x^((2 * log((cos(y))^2 + (sin(y))^2)) / log(x)))))","Cadena de cosenos, logaritmos y fracciones que colapsa a 0"
"Álgebra y simplificación","(ln(x*sqrt(x)) + ln(sqrt(x)/x^2)) + (sqrt(y)/(sqrt(y)-1) - sqrt(y)/(sqrt(y)+1) - (2*sqrt(y))/(y-1)) + (((1/x) - (1/y))/((y-x)/(x*y)) - 1)","Logaritmos, raíces y fracciones que se cancelan a 0"
"Álgebra y simplificación","1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)","Fracción continua que se simplifica a 0"
"Álgebra y simplificación","(x - 1)*(x^5 + x^4 + x^3 + x^2 + x + 1)","Producto polinómico con cancelación telescópica → x⁶-1"
"Álgebra y simplificación","factor(x^6-1)","Factorización sobre Q (factores ciclotómicos)"
"Álgebra y simplificación","apart(x^3/(x^2-1))","Fracciones parciales con parte polinómica"
"Álgebra y simplificación","sqrt(5+2*sqrt(6))","Desanidado de un radical anidado → √2+√3"
"Álgebra y simplificación","simplify((e^x - e^(-x))/(e^x + e^(-x)))","Reconocimiento de la función hiperbólica tanh(x)"
"Álgebra y simplificación","simplify(sin(x)^2+cos(x)^2)","Identidad trigonométrica pitagórica → 1"
"Álgebra y simplificación","(sqrt(5 + 2*sqrt(6))) + (1/(u*(u+2))) - ((sqrt(2) + sqrt(3)) + (1/(2*u) - 1/(2*(u+2))))","Radicales anidados y descomposición en fracciones → 0"
"Álgebra y simplificación","approx(e^pi)","La constante de Gelfond e^π ≈ 23.1406926328: approx() evalúa numéricamente (12 dígitos) manteniendo el engine exacto en todo lo demás"
"Teoría de números","totient(100)","Función φ de Euler: coprimos hasta 100"
"Teoría de números","fibonacci(50)","Término 50 de la sucesión de Fibonacci"
"Teoría de números","gcd(x^2-1, x^2-2*x+1)","MCD de polinomios (algoritmo de Euclides)"
"Teoría de números","isprime(561)","Test de primalidad (561 es un Carmichael, compuesto)"
"Teoría de números","nextprime(1000)","Primer número primo mayor que 1000"
"Teoría de números","choose(10,5)","Coeficiente binomial C(10,5)"
"Teoría de números","factorial(n+2)/factorial(n)","Simplificación simbólica de factoriales"
"Teoría de números","divisors(60)","Todos los divisores positivos de 60"
"Teoría de números","gcd(48,36,60)","MCD de tres enteros a la vez"
"Matrices y álgebra lineal","[[1,2],[3,4]] * [[5,6],[7,8]]","Multiplicación de matrices 2×2"
"Matrices y álgebra lineal","[[1,2],[3,4]]^(-1)","Matriz inversa con entradas racionales exactas"
"Matrices y álgebra lineal","det([[1,2,3],[4,5,6],[7,8,10]])","Determinante de una matriz 3×3"
"Matrices y álgebra lineal","eigenvalues([[2,1],[1,2]])","Valores propios de una matriz simétrica"
"Matrices y álgebra lineal","rref([[1,2,3],[4,5,6],[7,8,9]])","Forma escalonada reducida por filas (Gauss-Jordan)"
"Matrices y álgebra lineal","[[1,1],[0,1]]^5","Potencia entera de una matriz"
"Matrices y álgebra lineal","det([[a,b],[c,d]])","Determinante simbólico: a·d − b·c"
"Matrices y álgebra lineal","transpose([[1,2,3],[4,5,6]])","Transpuesta de una matriz 2×3"
"Matrices y álgebra lineal","cross([1,0,0],[0,1,0])","Producto vectorial en R³"
"Matrices y álgebra lineal","dot([1,2,3],[4,5,6])","Producto escalar de dos vectores"
"Funciones y variables","expr1:= (1 + 3*x1 + 5*x2 + 7*x3 + 9*x4 + 11*x5 + 13*x6 + 15*x7)^7 - 1","Asignación de una expresión a una variable"
"Funciones y variables","expand(expr1)","Expansión de la variable asignada (multinomio de 7 variables, miles de términos)"
"Funciones y variables","f(x) := x + 1","Declaración de una función de una variable"
"Funciones y variables","f(5)","Uso posterior de la función declarada"
"Funciones y variables","g(x,y) := x^2 + y","Declaración de una función de dos variables"
"Funciones y variables","g(3,4)","Uso posterior de la función con dos argumentos"
"Funciones y variables","h(x) := x^3 + sin(x)","Declaración de una función con potencia y trigonometría"
